공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
한국스마트정보교육원 24년 상반기 SW개발 공모전 (SW개발아이디어 및 결과물),한국스마트정보교육원,한국스마트정보교육원,24.01.30 ~ 24.06.28,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",상장 및 상금 (1등(최우수상) / 2등(우수상) / 3등(장려상)),0,https://www.all-con.co.kr/data/poster/2401/509068.png?v=1706602852
2024 의성사랑 유튜브 공모전,의성군,의성군,24.01.22 ~ 24.07.31,사진·영상,제한없음,"15점 1,500만원",0,https://www.all-con.co.kr/data/poster/2402/509123.webp?v=1706754583
제1회 안동문화상 공모전 (미술 / 문학),재단법인 한국정신문화재단,안동문화상 운영위원회,24.02.01 ~ 24.06.30,디자인·그림·웹툰,제한없음,"부문별 대상 1,000만원 상금",0,https://www.all-con.co.kr/data/poster/2402/509196.jpg?v=1706840132
MAD STARTS 2024 부산국제마케팅광고제,(사)부산국제마케팅광고제,(사)부산국제마케팅광고제,24.02.08 ~ 24.06.15,사진·영상,"일반인, 대학생, 대학원생",일반인 부문 : Gold / Silver / Bronze / Crystal 外,0,https://www.all-con.co.kr/data/poster/2402/509410.jpg?v=1707366721
제14회 대한민국무궁화미술대전 공모전,대한민국무궁화미술대전 위원회,(사)대한민국무궁화예술협회,24.06.01 ~ 24.06.12,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생","종합대상(국회의장상) 및 부문별 대상(장관상 및 지자체장 상), 단제장상",0,https://www.all-con.co.kr/data/poster/2402/509514.jpg?v=1707810682
2024 대한민국 영재발굴대전,"한국미술진흥원,한국영재발굴재단,후암아트센터",대한민국 영재발굴재단 운영위원회,24.02.20 ~ 24.12.25,아이디어·창업·네이밍,"초등학생, 중학생, 고등학생","우수학생 종합대상 : 상장 및 작항금 100만원 수여 유명멘토와 1:1멘토링, 언론보도 外",0,https://www.all-con.co.kr/data/poster/2402/509546.jpg?v=1707884914
2024년 제3회 충청남도 드론 영상 및 사진 공모전,충청남도청,충청남도청,24.02.01 ~ 24.10.31,사진·영상,제한없음,충청남도지사상 및 상금 총 1천만원,0,https://www.all-con.co.kr/data/poster/2402/509555.jpg?v=1707891671
한전KDN <국민제안 혁신 DESK> 운영,한전KDN,한전KDN,24.01.01 ~ 24.12.31,아이디어·창업·네이밍,제한없음,"최우수(30만원), 우수(15만원), 장려(5만원)",0,https://www.all-con.co.kr/data/poster/2402/509608.png?v=1716769612
제3회 백조학술논문상 공모,화성문화원,노작홍사용문학관,24.02.14 ~ 24.07.31,문학·학술·공학,"일반인, 대학생, 대학원생",백조학술논문상(1편) : 상금(300만원) 및 상패 수여,0,https://www.all-con.co.kr/data/poster/2402/509645.jpg?v=1708043176
2024 정읍시 관광 유튜브 공모전,정읍시,정읍시,24.11.04 ~ 24.11.22,사진·영상,제한없음,대상(1명 1천만원) / 최우수상(1명 7백만원) / 우수상(1명 5백만원) / 장려상 (3명 1백만원),0,https://www.all-con.co.kr/data/poster/2402/509886.jpg?v=1708577136
제1회 내포문화숲길 사진 공모전,내포문화숲길,내포문화숲길,24.03.04 ~ 24.08.31,사진·영상,제한없음,총상금: 600만원  대상: 150만원 外,0,https://www.all-con.co.kr/data/poster/2402/509893.jpg?v=1709083443
2024년 상반기 속초시시설관리공단 ESG 혁신아이디어 공모전,속초시시설관리공단,속초시시설관리공단,24.02.22 ~ 24.06.28,아이디어·창업·네이밍,제한없음,"최우수상 50만원(1명), 우수상 30만원(1명), 장려상 10만원(1명), 제안상 3만원(5명)",0,https://www.all-con.co.kr/data/poster/2402/510155.jpg?v=1709199766
제16회 대전광역시 공공디자인 공모전,대전광역시,대전광역시,24.06.10 ~ 24.06.24,아이디어·창업·네이밍,제한없음,"대상 등 총 1,700만원",0,https://www.all-con.co.kr/data/poster/2403/510257.jpg?v=1709617386
2024 블라이스xSBA 정식연재 공모전,"블라이스, SBA","블라이스, SBA",24.03.01 ~ 24.06.30,디자인·그림·웹툰,제한없음,총 상금 1.5억 원 外,0,https://www.all-con.co.kr/data/poster/2403/510264.png?v=1709627149
제19회 지리산문학상 공모,지리산문학회 · 계간 『시산맥』/지리산문학상 운영위원회,지리산문학회 · 계간 『시산맥』/지리산문학상 운영위원회,24.02.14 ~ 24.06.30,문학·학술·공학,"일반인, 대학생, 대학원생","1,000만원",0,https://www.all-con.co.kr/data/poster/2403/510286.png?v=1709684467
제11회 광융합 기술사업화 아이디어 및 제품디자인 공모전,한국광기술원,한국광기술원,24.04.01 ~ 24.06.28,아이디어·창업·네이밍,제한없음,"총상금 1,550만원 및 산업통상자원부 장관상 수상 기회",0,https://www.all-con.co.kr/data/poster/2403/510327.jpg?v=1709716626
2024년 제11회 유닛로드시스템(ULS) 창의성 공모전,(사)한국파렛트컨테이너협회,"(사)한국파렛트컨테이너협회, 대한상공회의소",24.03.01 ~ 24.07.31,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대상(국톡교통부장관상) 外,0,https://www.all-con.co.kr/data/poster/2403/510374.jpg?v=1710135928
제14회 제주 공공디자인 공모전,제주특별자치도,제주특별자치도,24.06.17 ~ 24.07.01,디자인·그림·웹툰,제한없음,"총 상금 1,000만원",0,https://www.all-con.co.kr/data/poster/2403/510481.jpg?v=1710132460
나의 병역이야기 공모전,병무청,병무청,24.03.11 ~ 24.06.28,사진·영상,제한없음,"총 35편, 1900만원",0,https://www.all-con.co.kr/data/poster/2403/510500.png?v=1713422288
디지털 일러스트 공모전,서울호서전문학교,서울호서전문학교,24.02.29 ~ 24.09.30,디자인·그림·웹툰,고등학생,"총 9개(명), 상금 총 240만원 및 입학 장학금",0,https://www.all-con.co.kr/data/poster/2403/510503.jpg?v=1710141067
"중앙회화대전 2024, 경계를 넘어",중앙일보,아람비,24.03.11 ~ 24.06.21,디자인·그림·웹툰,제한없음,"대상 1,000만원",0,https://www.all-con.co.kr/data/poster/2403/510506.jpg?v=1710203462
2024 울산동구 사진/숏폼 공모전,울산광역시 동구,울산광역시 동구,24.09.01 ~ 24.09.30,사진·영상,제한없음,"총 상금 1,300만원",0,https://www.all-con.co.kr/data/poster/2403/510519.png?v=1710146969
2024년 제15회 겨레얼살리기 전국 고등학생 백일장대회,"사단법인 겨레얼살리기국민운동본부, 종로구 공동주최",사단법인 겨레얼살리기국민운동본부,24.05.10 ~ 24.06.16,문학·학술·공학,고등학생,"국무총리상 1점, 문화체육관광부장관상 3점 外",0,https://www.all-con.co.kr/data/poster/2403/510624.jpg?v=1710317549
2024 경북 관광기업 청년 인턴 지원사업,경북관광기업지원센터,"문화체육관광부, 경상북도, 경주시, 한국관광공사, 경상북도문화관광공사",24.02.27 ~ 24.12.31,아이디어·창업·네이밍,제한없음,신규 채용 청년 인턴 급여 2개월 지원(1인당 월 최대 150만 원),0,https://www.all-con.co.kr/data/poster/2403/510690.jpg?v=1710465278
2024년 아이소리 공모전,파라다이스복지재단,파라다이스복지재단,24.03.01 ~ 24.06.30,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (전문가)",대상 1팀 : 300만원 外,0,https://www.all-con.co.kr/data/poster/2403/510698.png?v=1710469866
2024 안정리예술인광장 어린이 그림 그리기 대회,평택시문화재단,평택시문화재단,24.04.01 ~ 24.07.01,디자인·그림·웹툰,"초등학생, 주부 및 영유아","총 22명 수상, 대상(경기도지사상, 1명) 外",0,https://www.all-con.co.kr/data/poster/2403/510808.jpg?v=1710839089
2024 도코모모코리아 근현대건축 공모전 및 국제학술대회,문화재청,(사)도코모모코리아,24.04.01 ~ 24.06.30,디자인·그림·웹툰,대학생,대상(1작품) 600만원 外,0,https://www.all-con.co.kr/data/poster/2403/510826.jpg?v=1710810981
2024 한국리모델링건축대전,(사)한국리모델링협회,(사)한국리모델링협회 건축기술위원회,24.07.01 ~ 24.07.02,디자인·그림·웹툰,"일반인, 대학생",대상(1점) 상금 300만원 外,0,https://www.all-con.co.kr/data/poster/2403/510829.jpg?v=1710811758
제 16회 대한민국 도시숲 설계공모대전,산림청,(주)한국조경신문,24.07.29 ~ 24.08.02,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 기타",최우수상(1팀) 농림축산식품부장관상 및 상금 500만원 外,0,https://www.all-con.co.kr/data/poster/2403/510873.jpg?v=1710896840
2024 청강 패션뷰티스타일 공모전,청강문화산업대학교,청강문화산업대학교 패션뷰티스타일스쿨,24.03.18 ~ 24.08.08,디자인·그림·웹툰,"중학생, 고등학생","대상 : 상장 및 상금 100만원, 우선입학 등",0,https://www.all-con.co.kr/data/poster/2403/510988.jpg?v=1711083454
제6회 유니버설디자인 아이디어 대전,한국장애인개발원/한국장애인개발원,한국장애인개발원/한국장애인개발원,24.07.22 ~ 24.07.26,아이디어·창업·네이밍,제한없음,"상금+상품(총상금 : 1,950만원 / 1위 : 300만원 / 상품 : 상장)",0,https://www.all-con.co.kr/data/poster/2403/511066.jpg?v=1711425726
충청북도 60초 영상공모전,충청북도청,충청북도청,24.02.26 ~ 24.06.14,사진·영상,제한없음,"대상 1편, 최우수상 2편, 우수상 3편 外",0,https://www.all-con.co.kr/data/poster/2403/511099.png?v=1715933061
패스트캠퍼스 국비지원 ChatGPT 강의 홍보용 콘텐츠 공모전,패스트캠퍼스,패스트캠퍼스,24.03.22 ~ 24.06.26,아이디어·창업·네이밍,대학생,"대상 (총 3명) : 상장 및 상금 1,000,000원 外",0,https://www.all-con.co.kr/data/poster/2403/511114.png?v=1711599973
제8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,과학기술정보통신부,한국지능정보사회진흥원,24.03.25 ~ 24.10.31,아이디어·창업·네이밍,제한없음,"총 12점(상금 3,000만원, 크레딧 600만원 규모)",0,https://www.all-con.co.kr/data/poster/2403/511121.jpg?v=1711441700
설악플레이 릴스 공모전,설악플레이,설악플레이,24.03.25 ~ 24.06.30,사진·영상,제한없음,선착순 기프티콘 30명,0,https://www.all-con.co.kr/data/poster/2403/511134.png?v=1711512771
제59회 대한민국디자인전람회 공고,산업통상자원부,"한국디자인진흥원, 사단법인 한국디자인단체총연합회",24.05.01 ~ 24.06.30,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생","총 상금 8,500만원: (일반/대학생부문) 1등 상금 3,000만원 外",0,https://www.all-con.co.kr/data/poster/2403/511141.png?v=1711513879
2024년 제1회 산업안전 상생 논문 경진대회,재단법인 산업안전상생재단,재단법인 산업안전상생재단,24.04.01 ~ 24.07.05,문학·학술·공학,제한없음,부문별로 상이,0,https://www.all-con.co.kr/data/poster/2403/511157.png?v=1711525091
제3회 아트밸리아산 전국 호국보훈청소년영상제,아산시,아산시청소년교육문화센터,24.05.25 ~ 24.08.17,사진·영상,"대학생, 대학원생, 초등학생, 중학생, 고등학생","총상금 1040만원 / 대상, 최우수상, 우수상, 장려상",0,https://www.all-con.co.kr/data/poster/2403/511162.jpg?v=1711529695
제9회 지방자치분권·균형발전 실현 정책제안 공모,"부산일보사, 지방분권균형발전 부산시민연대",사)시민정책공방,24.03.27 ~ 24.10.11,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대상(최우수) 1명(300만원) 外,0,https://www.all-con.co.kr/data/poster/2403/511178.jpg?v=1713318614
"농식품 공공데이터, 창업경진대회 작품 공모","농림축산식품부, 농촌진흥청","농림수산식품교육문화정보원, 한국농어촌공사, 한국농수산식품유통공사(aT), 한국마사회, 축산물품질평가원, 농업정책보험금융원, 축산환경관리원, 한국농업기술진흥원",24.03.25 ~ 24.07.01,아이디어·창업·네이밍,제한없음,"총 18개(대상 3점, 최우수상 3점, 우수상 12점) 팀",0,https://www.all-con.co.kr/data/poster/2403/511191.jpg?v=1711605955
2024년 제7회 이어도 어린이·청소년 글·그림 공모전,(사)이어도연구회,(사)이어도연구회,24.04.01 ~ 24.08.31,디자인·그림·웹툰,"초등학생, 중학생, 고등학생",대상 50만원 해양수상부장관상 등,0,https://www.all-con.co.kr/data/poster/2403/511226.jpg?v=1711685901
2024 고용노동 공공데이터 활용 공모전,고용노동부,근로복지공단 한국고용정보원,24.03.28 ~ 24.07.21,아이디어·창업·네이밍,제한없음,"1등 400만원 총 1,650만원 이외 포스터 이미지 및 공식 홈페이지 참고",0,https://www.all-con.co.kr/data/poster/2403/511237.png?v=1711696268
2024년 충남관광 숏폼 영상 공모전,충청남도,충청남도,24.04.01 ~ 24.08.30,사진·영상,제한없음,"총상금 2,700만원",0,https://www.all-con.co.kr/data/poster/2404/511284.jpg?v=1713157163
문화다양성축제공모전MAMF영화제,경상남도 / 창원특례시 / 경남이주민노동복지센터 / 창원문화재단,MAMF(맘프)2024추진위원회/ 경남영화협회,24.04.01 ~ 24.09.06,사진·영상,제한없음,총 상금 600만원,0,https://www.all-con.co.kr/data/poster/2404/511320.jpg?v=1713943905
2024 국민 아이디어 공모제 국민과 함께 좋은 법 만들기,법제처,법제처,24.04.01 ~ 24.06.30,아이디어·창업·네이밍,제한없음,1등 100만원 상당 부상 포스터 이미지 및 공식 홈페이지 참고,0,https://www.all-con.co.kr/data/poster/2404/511328.jpg?v=1712018310
제9회 세계일보 UCC&사진 공모전,세계일보,세계일보,24.03.25 ~ 24.06.21,사진·영상,"일반인, 대학생, 대학원생, 중학생, 고등학생, 주부 및 영유아","UCC 영상(개인 또는 팀) - 12명, 1,020만원",0,https://www.all-con.co.kr/data/poster/2404/511339.png?v=1712037131
화성ICT생활문화센터 숏폼 영상 공모전,화성시,화성ICT생활문화센터,24.04.02 ~ 24.07.31,사진·영상,제한없음,시상금 및 화성시장상 수여,0,https://www.all-con.co.kr/data/poster/2404/511355.jpg?v=1712037479
60초로 보는 군위 영상 공모전,대구광역식 군위군,대구광역시 군위군,24.04.01 ~ 24.07.31,사진·영상,제한없음,"대상 300만원(1편), 최우수상 150만원(2편) 外",0,https://www.all-con.co.kr/data/poster/2404/511372.png?v=1712045785
국제 엔지니어링 및 디자인 공모전 제임스 다이슨 어워드 2024 참가자 모집,제임스 다이슨 재단,제임스 다이슨 재단,24.03.06 ~ 24.07.17,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",지원 조건에 부합하는 모든 참가자에게는 별도 참가 증서 제공 예정  外,0,https://www.all-con.co.kr/data/poster/2404/511386.jpg?v=1715047523
2024 ACC 민주·인권·평화 웹툰 공모전,국립아시아문화전당,국립아시아문화전당,24.04.01 ~ 24.06.16,디자인·그림·웹툰,제한없음,"대상(부문별 각 1) 문제부장관상, 상금 500만원 外",0,https://www.all-con.co.kr/data/poster/2404/511433.png?v=1714710827
부산영상위원회 2024 BFC 스토리 IP 공모전,부산영상위원회,부산영상위원회,24.06.03 ~ 24.06.30,사진·영상,기타 (부산 및 경남권 지역에서 활동 중인 창작자),공고문 참고,0,https://www.all-con.co.kr/data/poster/2404/511462.jpg?v=1712206171
2024 창녕 교동과 송현동 고분군 세계유산 등재 기념 사진 공모전,창녕군 관광환경국 문화예술과/스마트크리에이터,창녕군 관광환경국 문화예술과/스마트크리에이터,24.11.01 ~ 24.11.29,사진·영상,제한없음,상금(총상금 : 590만원 / 1위 : 300만원),0,https://www.all-con.co.kr/data/poster/2404/511505.jpg?v=1712299221
2024년 안견문화제 전국청소년미술공모전,서산시,"(재)서산문화재단, (사)안견기념사업회",24.06.17 ~ 24.06.21,디자인·그림·웹툰,"초등학생, 중학생, 고등학생","총 상금 1,200만원",0,https://www.all-con.co.kr/data/poster/2404/511509.jpg?v=1712295299
제5회 시험·연구용 유전자변형생물체 안전 콘텐츠 공모전 공고,과학기술정보통신부,한국생명공학연구원 국가연구안전관리본부,24.04.04 ~ 24.06.30,사진·영상,제한없음,"총 상금 2,990만원, 37명(팀) 시상(장관상 3점)",0,https://www.all-con.co.kr/data/poster/2404/511518.jpg?v=1713422031
제12회 수림문학상 작품 공모,"(주)연합뉴스, 수림문화재단","(주)연합뉴스, 수림문화재단",24.04.08 ~ 24.06.21,문학·학술·공학,"일반인, 기타 (신인 및 등단 10년차 미만의 기성 작가)","당선작 1편, 5천만원 (당선작 없는 가작은 2천500만원)",0,https://www.all-con.co.kr/data/poster/2404/511567.jpg?v=1712553407
제5회 뉴스읽기 뉴스일기 공모전,한국언론진흥재단,한국언론진흥재단,24.04.01 ~ 24.07.31,문학·학술·공학,"초등학생, 중학생, 고등학생","1등 300만원 총 5,600만원",0,https://www.all-con.co.kr/data/poster/2404/511596.jpg?v=1712560771
2024년 제3회 음주환경 개선 청년 토론대회,"대구동구보건소, 대구동구중독관리통합지원센터","대구동구보건소, 대구동구중독관리통합지원센터",24.04.01 ~ 24.07.17,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","대상: 100만원, 최우수상: 50만원, 우수상: 30만원",0,https://www.all-con.co.kr/data/poster/2404/511597.jpg?v=1712560909
2024년 트래블 이노베이션 아이디어 공모전,"야놀자리서치, 야놀자, 인터파크트리플",야놀자리서치,24.06.24 ~ 24.07.08,아이디어·창업·네이밍,"대학생, 대학원생",대상 1팀 500만원 外,0,https://www.all-con.co.kr/data/poster/2404/511600.png?v=1714629687
2024 대한민국지역문화대전 제39회 전국향토문화공모전,문화체육관광부,한국문화원연합회,24.04.01 ~ 24.06.27,문학·학술·공학,제한없음,"총 상금 1,400만원",0,https://www.all-con.co.kr/data/poster/2404/511613.jpg?v=1714035273
지속가능한 사회를 위한 그린클래스 후기 공모전,"LG화학, 사랑의 열매, 기아대책","동아사이언스, 킹클, Global Compact",24.05.20 ~ 24.06.20,사진·영상,"중학생, 고등학생, 기타","개인 1등(1명) : 50만원 상당 상품, 학급 1등(1팀) : 100만원 상당 상품",0,https://www.all-con.co.kr/data/poster/2404/511621.jpg?v=1712622970
제12회 K-해커톤,과학기술정보통신부,"정보통신산업진흥원, SWKOREA",24.05.13 ~ 24.06.14,문학·학술·공학,"일반인, 대학생, 대학원생",대상(1) : 300만원 + 과학기술정보통신부 장관상 등,0,https://www.all-con.co.kr/data/poster/2404/511633.jpg?v=1712627210
2024 공군 창의ㆍ혁신 아이디어 공모 해커톤,공군본부,"서울시, IBK기업은행, 대전창조경제혁신센터, 한국청년기업가정신재단, KT",24.04.15 ~ 24.07.13,아이디어·창업·네이밍,제한없음,"공군 참모총장상/서울시장 등 총 상금 3,450만원",0,https://www.all-con.co.kr/data/poster/2404/511635.jpg?v=1712635946
제 3회 영천시 공공데이터활용 경진대회,영천시,"포항테크노파크, 경북SW진흥본부",24.04.15 ~ 24.06.14,아이디어·창업·네이밍,제한없음,아이디어 부문  - 최우수(1) 영천시장상 200만원 外,0,https://www.all-con.co.kr/data/poster/2404/511650.jpg?v=1715331879
2024 부산국제마케팅광고제(MAD STARS 2024) 출품 안내,(사)부산국제마케팅광고제,(사)부산국제마케팅광고제,24.02.05 ~ 24.06.15,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","금상, 은상, 동상, 크리스탈 外",0,https://www.all-con.co.kr/data/poster/2404/511696.png?v=1712796304
의령 방문의 해 기념 온라인 사진전,해솔x의령관광,해솔x의령관광,24.04.08 ~ 24.07.12,사진·영상,제한없음,축제 부문(10점) • 관광부문(18점),0,https://www.all-con.co.kr/data/poster/2404/511747.png?v=1712826319
제5회 평화통일 사진 동영상(숏폼) 공모전,만주평화통일자문회의 양평군협의회,만주평화통일자문회의 양평군협의회,24.04.08 ~ 24.06.30,사진·영상,제한없음,"사진 13작품 (130만원), 숏폼 6~7작품(100만원) 外",0,https://www.all-con.co.kr/data/poster/2404/511748.png?v=1715151347
제10회 이천 관광 전국 사진 공모전,이천시,(사)한국사진작가협회 이천지부,24.10.04 ~ 24.11.04,사진·영상,제한없음,금상 1점 : 이천시장 상장 및 상금 100만원 外,0,https://www.all-con.co.kr/data/poster/2404/511773.jpg?v=1712889430
제11회 학교폭력예방 웹툰영상 공모전,"국립춘천병원, 강원특별자치도경찰청",국립춘천병원,24.04.26 ~ 24.07.21,사진·영상,"초등학생, 중학생, 고등학생, 기타 (강원특별자치도내 만18세 미만 아동청소년)",총 450만원/22명(팀),0,https://www.all-con.co.kr/data/poster/2404/511780.jpg?v=1717118873
부산교통공사 시민톡톡아이디어 공모전,부산교통공사,부산교통공사,24.04.12 ~ 24.12.31,아이디어·창업·네이밍,제한없음,"포상금: 금상 200만원, 은상 100만원, 동상 30만원, 장려상 10만원, 참여상 5만원",0,https://www.all-con.co.kr/data/poster/2404/511782.png?v=1712909958
2024년 우리가 바라는 안전한 학교 공모전,"교육부, 17개 시 ·도교육청, 한국교육시설안전원","교육부, 17개 시 ·도교육청, 한국교육시설안전원",24.04.11 ~ 24.06.28,아이디어·창업·네이밍,제한없음,1등 100만원(부문별 상이) 外,0,https://www.all-con.co.kr/data/poster/2404/511834.jpg?v=1713159172
2024 대전 동구 관광 콘텐츠 아이디어 공모전,대전광역시 동구,대전광역시 동구,24.06.10 ~ 24.06.13,아이디어·창업·네이밍,제한없음,총 상금 800만원 / 총 23점,0,https://www.all-con.co.kr/data/poster/2404/511835.png?v=1716455299
2024년 위해정보 데이터 활용 아이디어 공모전,한국소비자원,한국소비자원,24.04.15 ~ 24.06.14,아이디어·창업·네이밍,제한없음,"대상(1팀), 우수상(1팀), 장려상(1팀)",0,https://www.all-con.co.kr/data/poster/2404/511842.png?v=1713164857
2024년 위해정보 데이터 분석보고서 공모전,한국소비자원,한국소비자원,24.04.15 ~ 24.06.14,아이디어·창업·네이밍,"대학생, 대학원생","대상(1팀), 우수상(1팀), 장려상(1팀)",0,https://www.all-con.co.kr/data/poster/2404/511843.png?v=1713164912
BNK경남은행과 함께하는 경남 청년공감스토리 공모전,(주)경남도민일보사,(주)경남도민일보사,24.03.15 ~ 24.06.15,사진·영상,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타 (경남지역 거주 혹은 경남 출신 청년(만 19~34세) 누구나 ※ 응모자 선착순 150명 스타벅스 커피 쿠폰 제공)",총상금 410만원,0,https://www.all-con.co.kr/data/poster/2404/511865.jpg?v=1713228524
